'Channel Name','Handle / URL','Channel ID','Primary Objective','Playlist URL 1','Playlist URL 2','Playlist URL 3'
'1littlecoder','https://www.youtube.com/@1littlecoder','UCpV_X0VrL8-jg3t6wYGS-1g','Latest Video',,,
'AI search','https://www.youtube.com/channel/UCIgnGlGkVRhd4qNFcEwLL4A','UCIgnGlGkVRhd4qNFcEwLL4A','Latest Video',,,
'airevolutionx','https://www.youtube.com/@airevolutionx','UC5l7RouTQ60oUjLjt1Nh-UQ','Latest Video',,,
'AlfredoJalifeR','https://www.youtube.com/@AlfredoJalifeR','UClfxfOThZDPL_c0Ld7psDsw','Latest Live Stream',,,
'ARKInvest2015','https://www.youtube.com/@ARKInvest2015','UCK-zlnUfoDHzUwXcbddtnkg','Latest Video',,,
'Arpea Consultores','https://www.youtube.com/@arpeaconsultores','UC3EX6Mq2C58lU8hhs0KyjeA','Latest Video',,,
'Arte de Invertir','https://www.youtube.com/@Artedeinvertir','UC-yJ1V3fN75A4dlR6dgRgEg','Latest Live Stream',,,
'BitVenue','https://www.youtube.com/channel/UC2bDe-M0oGqSd87RZiQCuoQ','UC2bDe-M0oGqSd87RZiQCuoQ','Latest Video',,,
'Bloomberg Línea','https://www.youtube.com/c/BloombergLínea','UCt4iMhUHxnKfxJXIW36Y4Rw','Latest Playlist Video','https://www.youtube.com/playlist?list=PLbmwj7CoreTluybdH078-koGErzFeOJS_',,
'bravosresearch','https://www.youtube.com/@bravosresearch','UCOHxDwCcOzBaLkeTazanwcw','Latest Video',,,
'CarlosRodera','https://www.youtube.com/@CarlosRodera','UC4Bpei6VYN7WMm8y2sKUhVQ','Latest Video',,,
'darinmex','https://www.youtube.com/@darinmex','UC6GbAKHWYUJDWlkxY6HPldg','Latest Video',,,
'DiegoRuzzarin','https://www.youtube.com/@DiegoRuzzarin','UC1viRct91s1a3Z5yvk7FJXw','Latest Video',,,
'EconomicsUnmasked','https://www.youtube.com/@EconomicsUnmasked','UCM10pMhmuvD0niWteonSMBA','Latest Video',,,
'Eurodollar University','https://www.youtube.com/@eurodollaruniversity','UCrXNkk4IESnqU-8GMad2vyA','Latest Video',,,
'Gary''s Economics','https://www.youtube.com/@garyseconomics','UC5Ghe5TBQGYIOANuiNW4hDQ','Latest Video',,,
'George Gammon','https://www.youtube.com/@GeorgeGammon','UCpvyOqtEc86X8w8_Se0t4-w','Latest Video',,,
'innaafinogenova','https://www.youtube.com/@innaafinogenova.','UCopVhz5SlujUpiDiYzWtbpw','Latest Video',,,
'Invierte y Gana','https://www.youtube.com/@Invierteygana','UC29Uya07F0sVo6j7kKDXJnQ','Latest Video',,,
'Jalifeoficial','https://www.youtube.com/@Jalifeoficial','UCaJPQb99OLcME6qPubP1W1w','Latest Live Stream',,,
'jesusescobartovar3837','https://www.youtube.com/@jesusescobartovar3837','UCEF_W92s79326UIEGDqC1ZA','Latest Live Stream',,,
'joerogan','https://www.youtube.com/@joerogan','UCzQUP1qoWDoEbmsQxvdjxgQ','Latest Video',,,
'JoseLuisCavatv','https://www.youtube.com/@JoseLuisCavatv','UCvCCLJkQpRg0NdT3zNcI08A','Latest Video',,,
'La_Base_','https://www.youtube.com/@La_Base_','UC0oux2kiDINhX76StpGpA8g','Latest Live Stream',,,
'LaBaseLATAM','https://www.youtube.com/@LaBaseLATAM','UCeGfgM5oI9RSpFIjl_AaOXg','Latest Live Stream',,,
'Level1LinksWithFriends','https://www.youtube.com/@Level1LinksWithFriends','UCw_X9HgNg2J9p7wRM0FD4bA','Latest Video',,,
'Level1Linux','https://www.youtube.com/@Level1Linux','UCOWcZ6Wicl-1N34H0zZe38w','Latest Video',,,
'Level1Techs','https://www.youtube.com/c/Level1Techs','UC4w1YQAJMWOz4qtxinq55LQ','Latest Video',,,
'lexfridman','https://www.youtube.com/@lexfridman','UCSHZKyawb77ixDdsGog4iWA','Latest Video',,,
'matthew_berman','https://www.youtube.com/@matthew_berman','UCawZsQWqfGSbCI5yjkdVkTA','Latest Video',,,
'midudev','https://www.youtube.com/@midudev','UC8LeXCWOalN8SxlrPcG-PaQ','Latest Video',,,
'midulive','https://www.youtube.com/@midulive','UC3aj05GEEyzdOqYM5FLSFeg','Latest Video',,,
'peterdiamandis','https://www.youtube.com/@peterdiamandis','UCvxm0qTrGN_1LMYgUaftWyQ','Latest Video',,,
'Rebel Capitalist','https://www.youtube.com/@RebelCapitalistChannel','UCNjyEXSvYUUCzagFAKmaJ1Q','Latest Video',,,
'SantiagoArmesilla','https://www.youtube.com/@SantiagoArmesilla','UCFYqNfxE5JWNeYuZuaM4YNQ','Latest Video',,,
't3dotgg','https://www.youtube.com/@t3dotgg','UCbRP3c757lWg9M-U7TyEkXA','Latest Video',,,
'tuprofederi2.0','https://www.youtube.com/@tuprofederi2.0','UC8clFNh-BXotS2vUQtPRqyw','Latest Live Stream',,,
'Value Index','https://www.youtube.com/@ValueIndex','UCazZozymAFpyrVHiZreOJOA','Latest Live Stream',,,
'WesRoth','https://www.youtube.com/@WesRoth','UCqcbQf6yw5KzRoDDcZ_wBSw','Latest Video',,,
